Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Colombia,1990 - 2015,All ages,Both,Brain and nervous system cancer,YLLs annual % change,0.012903203,,
Colombia,2015,All ages,Both,Thyroid cancer,Percent of total YLLs,0.000978314,0.000872828,0.001090552
Colombia,1990 - 2015,All ages,Both,Thyroid cancer,YLLs annual % change,0.000997246,,
Colombia,2015,All ages,Both,Mesothelioma,Percent of total YLLs,0.00046259,0.000403814,0.000522663
Colombia,1990 - 2015,All ages,Both,Mesothelioma,YLLs annual % change,0.016468329,,
Colombia,2015,All ages,Both,Hodgkin lymphoma,Percent of total YLLs,0.000972126,0.000812617,0.001117225
Colombia,1990 - 2015,All ages,Both,Hodgkin lymphoma,YLLs annual % change,-0.016744994,,
Colombia,2015,All ages,Both,Non-Hodgkin lymphoma,Percent of total YLLs,0.006553225,0.005002713,0.007370357
Colombia,1990 - 2015,All ages,Both,Non-Hodgkin lymphoma,YLLs annual % change,0.004209546,,
Colombia,2015,All ages,Both,Multiple myeloma,Percent of total YLLs,0.00233112,0.002071614,0.00267448
Colombia,1990 - 2015,All ages,Both,Multiple myeloma,YLLs annual % change,0.011701908,,
Colombia,2015,All ages,Both,Leukemia,Percent of total YLLs,0.01577298,0.014110609,0.017547426
Colombia,1990 - 2015,All ages,Both,Leukemia,YLLs annual % change,-0.007025217,,
Colombia,2015,All ages,Both,Other neoplasms,Percent of total YLLs,0.014135241,0.009631148,0.015651569
Colombia,1990 - 2015,All ages,Both,Other neoplasms,YLLs annual % change,0.019426446,,
Colombia,2015,All ages,Both,Rheumatic heart disease,Percent of total YLLs,0.001074905,0.000986928,0.001164855
Colombia,1990 - 2015,All ages,Both,Rheumatic heart disease,YLLs annual % change,-0.047017009,,
Colombia,2015,All ages,Both,Ischemic heart disease,Percent of total YLLs,0.101342274,0.095196502,0.107058151
Colombia,1990 - 2015,All ages,Both,Ischemic heart disease,YLLs annual % change,-0.003179109,,
Colombia,2015,All ages,Both,Cerebrovascular disease,Percent of total YLLs,0.046204815,0.043138573,0.049171035
Colombia,1990 - 2015,All ages,Both,Cerebrovascular disease,YLLs annual % change,-0.015299889,,
Colombia,2015,All ages,Both,Hypertensive heart disease,Percent of total YLLs,0.009901157,0.008979279,0.010957976
Colombia,1990 - 2015,All ages,Both,Hypertensive heart disease,YLLs annual % change,-0.019007554,,
Colombia,2015,All ages,Both,Cardiomyopathy and myocarditis,Percent of total YLLs,0.004631508,0.004237269,0.005051855
Colombia,1990 - 2015,All ages,Both,Cardiomyopathy and myocarditis,YLLs annual % change,-0.02334606,,
Colombia,2015,All ages,Both,Atrial fibrillation and flutter,Percent of total YLLs,0.001263801,0.000983219,0.001613695
Colombia,1990 - 2015,All ages,Both,Atrial fibrillation and flutter,YLLs annual % change,0.019254764,,
Colombia,2015,All ages,Both,Aortic aneurysm,Percent of total YLLs,0.004029541,0.003643414,0.004356372
Colombia,1990 - 2015,All ages,Both,Aortic aneurysm,YLLs annual % change,0.005415683,,
Colombia,2015,All ages,Both,Peripheral artery disease,Percent of total YLLs,0.000244459,0.00020681,0.000288657
Colombia,1990 - 2015,All ages,Both,Peripheral artery disease,YLLs annual % change,0.025410598,,
Colombia,2015,All ages,Both,Endocarditis,Percent of total YLLs,0.00228869,0.002059611,0.00253835
Colombia,1990 - 2015,All ages,Both,Endocarditis,YLLs annual % change,0.000483708,,
Colombia,2015,All ages,Both,Other cardiovascular and circulatory diseases,Percent of total YLLs,0.009729269,0.009053371,0.010443157
Colombia,1990 - 2015,All ages,Both,Other cardiovascular and circulatory diseases,YLLs annual % change,-0.006739712,,
Colombia,2015,All ages,Both,Chronic obstructive pulmonary disease,Percent of total YLLs,0.029794016,0.027664884,0.031862656
Colombia,1990 - 2015,All ages,Both,Chronic obstructive pulmonary disease,YLLs annual % change,0.000538767,,
Colombia,2015,All ages,Both,Pneumoconiosis,Percent of total YLLs,0.000192671,0.000163336,0.000222894
Colombia,1990 - 2015,All ages,Both,Pneumoconiosis,YLLs annual % change,-0.012042769,,
Colombia,2015,All ages,Both,Asthma,Percent of total YLLs,0.002322649,0.002015637,0.002788415
Colombia,1990 - 2015,All ages,Both,Asthma,YLLs annual % change,-0.0423574,,
Colombia,2015,All ages,Both,Interstitial lung disease and pulmonary sarcoidosis,Percent of total YLLs,0.00196206,0.001190023,0.002368622
Colombia,1990 - 2015,All ages,Both,Interstitial lung disease and pulmonary sarcoidosis,YLLs annual % change,0.05348598,,
Colombia,2015,All ages,Both,Other chronic respiratory diseases,Percent of total YLLs,0.002684034,0.002130862,0.003458685
Colombia,1990 - 2015,All ages,Both,Other chronic respiratory diseases,YLLs annual % change,-0.003496847,,
Colombia,2015,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis B,Percent of total YLLs,0.000717951,0.000611401,0.000915799
Colombia,1990 - 2015,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis B,YLLs annual % change,0.009347363,,
Colombia,2015,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis C,Percent of total YLLs,0.004219758,0.003680768,0.005474269
Colombia,1990 - 2015,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis C,YLLs annual % change,0.008387476,,
Colombia,2015,All ages,Both,Cirrhosis and other chronic liver diseases due to alcohol use,Percent of total YLLs,0.006037112,0.0052407,0.008120203
Colombia,1990 - 2015,All ages,Both,Cirrhosis and other chronic liver diseases due to alcohol use,YLLs annual % change,-0.002184352,,
Colombia,2015,All ages,Both,Cirrhosis and other chronic liver diseases due to other causes,Percent of total YLLs,0.003343725,0.00301221,0.003767715
Colombia,1990 - 2015,All ages,Both,Cirrhosis and other chronic liver diseases due to other causes,YLLs annual % change,-0.007113494,,
Colombia,2015,All ages,Both,Peptic ulcer disease,Percent of total YLLs,0.003084571,0.002806126,0.003458944
Colombia,1990 - 2015,All ages,Both,Peptic ulcer disease,YLLs annual % change,-0.030846099,,
Colombia,2015,All ages,Both,Gastritis and duodenitis,Percent of total YLLs,0.000552959,0.000484372,0.000631374
Colombia,1990 - 2015,All ages,Both,Gastritis and duodenitis,YLLs annual % change,0.004814254,,
Colombia,2015,All ages,Both,Appendicitis,Percent of total YLLs,0.001449432,0.001300743,0.001627662
Colombia,1990 - 2015,All ages,Both,Appendicitis,YLLs annual % change,-0.011940855,,
Colombia,2015,All ages,Both,Paralytic ileus and intestinal obstruction,Percent of total YLLs,0.003968168,0.00290109,0.004531341
Colombia,1990 - 2015,All ages,Both,Paralytic ileus and intestinal obstruction,YLLs annual % change,0.003768083,,
Colombia,2015,All ages,Both,"Inguinal, femoral, and abdominal hernia",Percent of total YLLs,0.000857647,0.000704755,0.001058355
Colombia,1990 - 2015,All ages,Both,"Inguinal, femoral, and abdominal hernia",YLLs annual % change,-0.009426718,,
Colombia,2015,All ages,Both,Inflammatory bowel disease,Percent of total YLLs,0.000598246,0.000519625,0.000692413
Colombia,1990 - 2015,All ages,Both,Inflammatory bowel disease,YLLs annual % change,0.003879931,,
Colombia,2015,All ages,Both,Vascular intestinal disorders,Percent of total YLLs,0.002410566,0.002150586,0.002678109
Colombia,1990 - 2015,All ages,Both,Vascular intestinal disorders,YLLs annual % change,0.015059686,,
Colombia,2015,All ages,Both,Gallbladder and biliary diseases,Percent of total YLLs,0.003209852,0.002880996,0.003574115
Colombia,1990 - 2015,All ages,Both,Gallbladder and biliary diseases,YLLs annual % change,0.005840874,,
Colombia,2015,All ages,Both,Pancreatitis,Percent of total YLLs,0.001885817,0.001686524,0.002231403
Colombia,1990 - 2015,All ages,Both,Pancreatitis,YLLs annual % change,-0.005545101,,
Colombia,2015,All ages,Both,Other digestive diseases,Percent of total YLLs,0.002586621,0.002338485,0.002859957
Colombia,1990 - 2015,All ages,Both,Other digestive diseases,YLLs annual % change,-0.000894541,,
Colombia,2015,All ages,Both,Alzheimer disease and other dementias,Percent of total YLLs,0.016153553,0.01338134,0.018848533
Colombia,1990 - 2015,All ages,Both,Alzheimer disease and other dementias,YLLs annual % change,0.019978283,,
Colombia,2015,All ages,Both,Parkinson disease,Percent of total YLLs,0.000502579,0.000449933,0.000558514
Colombia,1990 - 2015,All ages,Both,Parkinson disease,YLLs annual % change,0.024498176,,
Colombia,2015,All ages,Both,Epilepsy,Percent of total YLLs,0.004307921,0.003885678,0.004841583
Colombia,1990 - 2015,All ages,Both,Epilepsy,YLLs annual % change,-0.020536034,,
Colombia,2015,All ages,Both,Multiple sclerosis,Percent of total YLLs,0.000375575,0.000293571,0.000435527
Colombia,1990 - 2015,All ages,Both,Multiple sclerosis,YLLs annual % change,0.020995618,,
Colombia,2015,All ages,Both,Migraine,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Migraine,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Tension-type headache,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Tension-type headache,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Medication overuse headache,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Medication overuse headache,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Motor neuron disease,Percent of total YLLs,0.000797709,0.000734332,0.00086672
Colombia,1990 - 2015,All ages,Both,Motor neuron disease,YLLs annual % change,0.022507832,,
Colombia,2015,All ages,Both,Other neurological disorders,Percent of total YLLs,0.001746525,0.001574448,0.001916552
Colombia,1990 - 2015,All ages,Both,Other neurological disorders,YLLs annual % change,-0.008592957,,
Colombia,2015,All ages,Both,Schizophrenia,Percent of total YLLs,6.37326E-05,5.41492E-05,7.48248E-05
Colombia,1990 - 2015,All ages,Both,Schizophrenia,YLLs annual % change,-0.004181203,,
Colombia,2015,All ages,Both,Alcohol use disorders,Percent of total YLLs,0.000545145,0.00046598,0.000637047
Colombia,1990 - 2015,All ages,Both,Alcohol use disorders,YLLs annual % change,-0.00766836,,
Colombia,2015,All ages,Both,Drug use disorders,Percent of total YLLs,0.001575711,0.001274852,0.001827894
Colombia,1990 - 2015,All ages,Both,Drug use disorders,YLLs annual % change,0.025980213,,
Colombia,2015,All ages,Both,Depressive disorders,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Depressive disorders,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Bipolar disorder,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Bipolar disorder,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Anxiety disorders,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Anxiety disorders,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Eating disorders,Percent of total YLLs,2.29042E-05,1.57528E-05,3.81988E-05
Colombia,1990 - 2015,All ages,Both,Eating disorders,YLLs annual % change,0.003129707,,
Colombia,2015,All ages,Both,Autistic spectrum disorders,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Autistic spectrum disorders,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Attention-deficit/hyperactivity disorder,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Attention-deficit/hyperactivity disorder,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Conduct disorder,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Conduct disorder,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Idiopathic developmental intellectual disability,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Idiopathic developmental intellectual disability,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Other mental and substance use disorders,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Other mental and substance use disorders,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Diabetes mellitus,Percent of total YLLs,0.020542133,0.018956449,0.022302228
Colombia,1990 - 2015,All ages,Both,Diabetes mellitus,YLLs annual % change,0.002954263,,
Colombia,2015,All ages,Both,Acute glomerulonephritis,Percent of total YLLs,5.80858E-05,5.0955E-05,8.65744E-05
Colombia,1990 - 2015,All ages,Both,Acute glomerulonephritis,YLLs annual % change,-0.029174779,,
Colombia,2015,All ages,Both,Chronic kidney disease,Percent of total YLLs,0.022969333,0.021304717,0.024640939
Colombia,1990 - 2015,All ages,Both,Chronic kidney disease,YLLs annual % change,-0.007032569,,
Colombia,2015,All ages,Both,Urinary diseases and male infertility,Percent of total YLLs,0.005761571,0.00522963,0.006261417
Colombia,1990 - 2015,All ages,Both,Urinary diseases and male infertility,YLLs annual % change,0.01724515,,
Colombia,2015,All ages,Both,Gynecological diseases,Percent of total YLLs,5.80404E-05,4.97377E-05,6.75757E-05
Colombia,1990 - 2015,All ages,Both,Gynecological diseases,YLLs annual % change,-0.043958485,,
Colombia,2015,All ages,Both,Hemoglobinopathies and hemolytic anemias,Percent of total YLLs,0.001388233,0.001247536,0.001566077
Colombia,1990 - 2015,All ages,Both,Hemoglobinopathies and hemolytic anemias,YLLs annual % change,-0.020826482,,
Colombia,2015,All ages,Both,"Endocrine, metabolic, blood, and immune disorders",Percent of total YLLs,0.004240887,0.003751754,0.004717753
Colombia,1990 - 2015,All ages,Both,"Endocrine, metabolic, blood, and immune disorders",YLLs annual % change,-0.005193193,,
Colombia,2015,All ages,Both,Rheumatoid arthritis,Percent of total YLLs,0.000685844,0.000559996,0.000860274
