Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Colombia,1990 - 2015,All ages,Both,Chagas disease,YLDs annual % change,0.018251497,,
Colombia,2015,All ages,Both,Leishmaniasis,Percent of total YLDs,2.81273E-05,1.39168E-05,4.97343E-05
Colombia,1990 - 2015,All ages,Both,Leishmaniasis,YLDs annual % change,0.002657763,,
Colombia,2015,All ages,Both,African trypanosomiasis,Percent of total YLDs,0,0,0
Colombia,1990 - 2015,All ages,Both,African trypanosomiasis,YLDs annual % change,0,,
Colombia,2015,All ages,Both,Schistosomiasis,Percent of total YLDs,0,0,0
Colombia,1990 - 2015,All ages,Both,Schistosomiasis,YLDs annual % change,0,,
Colombia,2015,All ages,Both,Cysticercosis,Percent of total YLDs,0.000169895,0.000117921,0.000235666
Colombia,1990 - 2015,All ages,Both,Cysticercosis,YLDs annual % change,-0.062682485,,
Colombia,2015,All ages,Both,Cystic echinococcosis,Percent of total YLDs,6.04203E-05,4.76437E-05,7.35797E-05
Colombia,1990 - 2015,All ages,Both,Cystic echinococcosis,YLDs annual % change,-0.001884221,,
Colombia,2015,All ages,Both,Lymphatic filariasis,Percent of total YLDs,0,0,0
Colombia,1990 - 2015,All ages,Both,Lymphatic filariasis,YLDs annual % change,0,,
Colombia,2015,All ages,Both,Onchocerciasis,Percent of total YLDs,0,0,0
Colombia,1990 - 2015,All ages,Both,Onchocerciasis,YLDs annual % change,0,,
Colombia,2015,All ages,Both,Trachoma,Percent of total YLDs,0,0,0
Colombia,1990 - 2015,All ages,Both,Trachoma,YLDs annual % change,0,,
Colombia,2015,All ages,Both,Dengue,Percent of total YLDs,0.001089741,0.000561995,0.001966028
Colombia,1990 - 2015,All ages,Both,Dengue,YLDs annual % change,0.051399806,,
Colombia,2015,All ages,Both,Yellow fever,Percent of total YLDs,1.56E-08,4.66E-09,3.95E-08
Colombia,1990 - 2015,All ages,Both,Yellow fever,YLDs annual % change,-0.051711065,,
Colombia,2015,All ages,Both,Rabies,Percent of total YLDs,1.31E-10,9.12E-11,1.88E-10
Colombia,1990 - 2015,All ages,Both,Rabies,YLDs annual % change,-0.143895304,,
Colombia,2015,All ages,Both,Intestinal nematode infections,Percent of total YLDs,0.012836638,0.008540366,0.018805185
Colombia,1990 - 2015,All ages,Both,Intestinal nematode infections,YLDs annual % change,-0.016685907,,
Colombia,2015,All ages,Both,Food-borne trematodiases,Percent of total YLDs,0,0,0
Colombia,1990 - 2015,All ages,Both,Food-borne trematodiases,YLDs annual % change,0,,
Colombia,2015,All ages,Both,Other neglected tropical diseases,Percent of total YLDs,0.001393906,0.001069543,0.001751757
Colombia,1990 - 2015,All ages,Both,Other neglected tropical diseases,YLDs annual % change,-0.009311471,,
Colombia,2015,All ages,Both,Maternal hemorrhage,Percent of total YLDs,5.0649E-05,3.73187E-05,6.58525E-05
Colombia,1990 - 2015,All ages,Both,Maternal hemorrhage,YLDs annual % change,-0.032940979,,
Colombia,2015,All ages,Both,Maternal sepsis and other maternal infections,Percent of total YLDs,3.65354E-05,1.72713E-05,6.37991E-05
Colombia,1990 - 2015,All ages,Both,Maternal sepsis and other maternal infections,YLDs annual % change,-0.025895524,,
Colombia,2015,All ages,Both,Maternal hypertensive disorders,Percent of total YLDs,0.000176982,0.000104106,0.000285511
Colombia,1990 - 2015,All ages,Both,Maternal hypertensive disorders,YLDs annual % change,-0.021319875,,
Colombia,2015,All ages,Both,Maternal obstructed labor and uterine rupture,Percent of total YLDs,1.60106E-05,8.62714E-06,2.7797E-05
Colombia,1990 - 2015,All ages,Both,Maternal obstructed labor and uterine rupture,YLDs annual % change,-0.029359701,,
Colombia,2015,All ages,Both,"Maternal abortion, miscarriage, and ectopic pregnancy",Percent of total YLDs,7.0991E-05,3.85256E-05,0.000110488
Colombia,1990 - 2015,All ages,Both,"Maternal abortion, miscarriage, and ectopic pregnancy",YLDs annual % change,-0.027213173,,
Colombia,2015,All ages,Both,Indirect maternal deaths,Percent of total YLDs,0,0,0
Colombia,1990 - 2015,All ages,Both,Indirect maternal deaths,YLDs annual % change,0,,
Colombia,2015,All ages,Both,Late maternal deaths,Percent of total YLDs,0,0,0
Colombia,1990 - 2015,All ages,Both,Late maternal deaths,YLDs annual % change,0,,
Colombia,2015,All ages,Both,Other maternal disorders,Percent of total YLDs,3.97067E-05,2.74299E-05,5.59458E-05
Colombia,1990 - 2015,All ages,Both,Other maternal disorders,YLDs annual % change,-0.038373271,,
Colombia,2015,All ages,Both,Neonatal preterm birth complications,Percent of total YLDs,0.005225872,0.003999963,0.006765625
Colombia,1990 - 2015,All ages,Both,Neonatal preterm birth complications,YLDs annual % change,-0.007308871,,
Colombia,2015,All ages,Both,Neonatal encephalopathy due to birth asphyxia and trauma,Percent of total YLDs,0.003432414,0.002273979,0.00517957
Colombia,1990 - 2015,All ages,Both,Neonatal encephalopathy due to birth asphyxia and trauma,YLDs annual % change,-0.002340661,,
Colombia,2015,All ages,Both,Neonatal sepsis and other neonatal infections,Percent of total YLDs,8.08167E-06,4.74843E-06,1.29468E-05
Colombia,1990 - 2015,All ages,Both,Neonatal sepsis and other neonatal infections,YLDs annual % change,-0.02811396,,
Colombia,2015,All ages,Both,Hemolytic disease and other neonatal jaundice,Percent of total YLDs,0.00106111,0.000770313,0.00140461
Colombia,1990 - 2015,All ages,Both,Hemolytic disease and other neonatal jaundice,YLDs annual % change,-0.003615378,,
Colombia,2015,All ages,Both,Other neonatal disorders,Percent of total YLDs,0.001769926,0.001052906,0.002618713
Colombia,1990 - 2015,All ages,Both,Other neonatal disorders,YLDs annual % change,0.031760087,,
Colombia,2015,All ages,Both,Protein-energy malnutrition,Percent of total YLDs,0.000648306,0.000401491,0.000999987
Colombia,1990 - 2015,All ages,Both,Protein-energy malnutrition,YLDs annual % change,-0.038634821,,
Colombia,2015,All ages,Both,Iodine deficiency,Percent of total YLDs,0.001861783,0.001302896,0.002663097
Colombia,1990 - 2015,All ages,Both,Iodine deficiency,YLDs annual % change,-0.012852775,,
Colombia,2015,All ages,Both,Vitamin A deficiency,Percent of total YLDs,0.000194267,0.000138169,0.000263522
Colombia,1990 - 2015,All ages,Both,Vitamin A deficiency,YLDs annual % change,-0.024158785,,
Colombia,2015,All ages,Both,Iron-deficiency anemia,Percent of total YLDs,0.028230846,0.02229061,0.034870697
Colombia,1990 - 2015,All ages,Both,Iron-deficiency anemia,YLDs annual % change,-0.00617262,,
Colombia,2015,All ages,Both,Other nutritional deficiencies,Percent of total YLDs,1.3295E-05,7.53995E-06,2.18314E-05
Colombia,1990 - 2015,All ages,Both,Other nutritional deficiencies,YLDs annual % change,-0.067537604,,
Colombia,2015,All ages,Both,Sexually transmitted diseases excluding HIV,Percent of total YLDs,0.001858887,0.001108594,0.003121085
Colombia,1990 - 2015,All ages,Both,Sexually transmitted diseases excluding HIV,YLDs annual % change,0.002254167,,
Colombia,2015,All ages,Both,Hepatitis,Percent of total YLDs,0.000518737,0.000406469,0.000643636
Colombia,1990 - 2015,All ages,Both,Hepatitis,YLDs annual % change,-0.000621867,,
Colombia,2015,All ages,Both,Leprosy,Percent of total YLDs,2.137E-05,1.59368E-05,2.77082E-05
Colombia,1990 - 2015,All ages,Both,Leprosy,YLDs annual % change,0.000823601,,
Colombia,2015,All ages,Both,Other infectious diseases,Percent of total YLDs,0.001026193,0.000775503,0.001287204
Colombia,1990 - 2015,All ages,Both,Other infectious diseases,YLDs annual % change,-0.006192157,,
Colombia,2015,All ages,Both,Esophageal cancer,Percent of total YLDs,5.06032E-05,3.66637E-05,7.07965E-05
Colombia,1990 - 2015,All ages,Both,Esophageal cancer,YLDs annual % change,0.008378478,,
Colombia,2015,All ages,Both,Stomach cancer,Percent of total YLDs,0.000479265,0.000404816,0.000554763
Colombia,1990 - 2015,All ages,Both,Stomach cancer,YLDs annual % change,0.002855824,,
Colombia,2015,All ages,Both,Liver cancer,Percent of total YLDs,8.50251E-05,6.40364E-05,0.000117218
Colombia,1990 - 2015,All ages,Both,Liver cancer,YLDs annual % change,0.01833625,,
Colombia,2015,All ages,Both,Larynx cancer,Percent of total YLDs,0.000133753,0.000107686,0.000170053
Colombia,1990 - 2015,All ages,Both,Larynx cancer,YLDs annual % change,0.006266747,,
Colombia,2015,All ages,Both,"Tracheal, bronchus, and lung cancer",Percent of total YLDs,0.000318384,0.000254526,0.000393736
Colombia,1990 - 2015,All ages,Both,"Tracheal, bronchus, and lung cancer",YLDs annual % change,0.017576649,,
Colombia,2015,All ages,Both,Breast cancer,Percent of total YLDs,0.00169621,0.001406463,0.001990273
Colombia,1990 - 2015,All ages,Both,Breast cancer,YLDs annual % change,0.029875337,,
Colombia,2015,All ages,Both,Cervical cancer,Percent of total YLDs,0.000461851,0.000366693,0.000567866
Colombia,1990 - 2015,All ages,Both,Cervical cancer,YLDs annual % change,-0.003505514,,
Colombia,2015,All ages,Both,Uterine cancer,Percent of total YLDs,0.000165506,0.000112382,0.000244192
Colombia,1990 - 2015,All ages,Both,Uterine cancer,YLDs annual % change,0.019586813,,
Colombia,2015,All ages,Both,Prostate cancer,Percent of total YLDs,0.001038427,0.000596236,0.001385322
Colombia,1990 - 2015,All ages,Both,Prostate cancer,YLDs annual % change,0.04287758,,
Colombia,2015,All ages,Both,Colon and rectum cancer,Percent of total YLDs,0.000544043,0.000457984,0.000637643
Colombia,1990 - 2015,All ages,Both,Colon and rectum cancer,YLDs annual % change,0.035194003,,
Colombia,2015,All ages,Both,Lip and oral cavity cancer,Percent of total YLDs,0.000166619,0.000130562,0.000210705
Colombia,1990 - 2015,All ages,Both,Lip and oral cavity cancer,YLDs annual % change,0.011925751,,
Colombia,2015,All ages,Both,Nasopharynx cancer,Percent of total YLDs,2.97535E-05,2.13351E-05,4.0595E-05
Colombia,1990 - 2015,All ages,Both,Nasopharynx cancer,YLDs annual % change,-0.000340889,,
Colombia,2015,All ages,Both,Other pharynx cancer,Percent of total YLDs,4.04379E-05,3.14512E-05,5.15595E-05
Colombia,1990 - 2015,All ages,Both,Other pharynx cancer,YLDs annual % change,-0.002866664,,
Colombia,2015,All ages,Both,Gallbladder and biliary tract cancer,Percent of total YLDs,5.61409E-05,4.09493E-05,7.41866E-05
Colombia,1990 - 2015,All ages,Both,Gallbladder and biliary tract cancer,YLDs annual % change,-0.003572146,,
Colombia,2015,All ages,Both,Pancreatic cancer,Percent of total YLDs,7.98999E-05,6.0695E-05,0.000100641
Colombia,1990 - 2015,All ages,Both,Pancreatic cancer,YLDs annual % change,0.013369982,,
Colombia,2015,All ages,Both,Malignant skin melanoma,Percent of total YLDs,0.000187578,0.000116361,0.000253971
Colombia,1990 - 2015,All ages,Both,Malignant skin melanoma,YLDs annual % change,0.038662163,,
Colombia,2015,All ages,Both,Non-melanoma skin cancer,Percent of total YLDs,0.000311285,0.000236775,0.000402511
Colombia,1990 - 2015,All ages,Both,Non-melanoma skin cancer,YLDs annual % change,0.040037471,,
Colombia,2015,All ages,Both,Ovarian cancer,Percent of total YLDs,0.000214165,0.000154133,0.000290915
Colombia,1990 - 2015,All ages,Both,Ovarian cancer,YLDs annual % change,0.018251964,,
Colombia,2015,All ages,Both,Testicular cancer,Percent of total YLDs,5.712E-05,4.11087E-05,7.68739E-05
Colombia,1990 - 2015,All ages,Both,Testicular cancer,YLDs annual % change,0.037694314,,
Colombia,2015,All ages,Both,Kidney cancer,Percent of total YLDs,0.000119508,9.54252E-05,0.000144955
Colombia,1990 - 2015,All ages,Both,Kidney cancer,YLDs annual % change,0.032262332,,
Colombia,2015,All ages,Both,Bladder cancer,Percent of total YLDs,0.000165895,0.000130207,0.000211145
Colombia,1990 - 2015,All ages,Both,Bladder cancer,YLDs annual % change,0.018005974,,
Colombia,2015,All ages,Both,Brain and nervous system cancer,Percent of total YLDs,0.000144857,0.000113127,0.00017703
Colombia,1990 - 2015,All ages,Both,Brain and nervous system cancer,YLDs annual % change,0.020753688,,
Colombia,2015,All ages,Both,Thyroid cancer,Percent of total YLDs,0.00020765,0.000155499,0.000267595
Colombia,1990 - 2015,All ages,Both,Thyroid cancer,YLDs annual % change,0.033645527,,
Colombia,2015,All ages,Both,Mesothelioma,Percent of total YLDs,7.38976E-06,5.94441E-06,9.12549E-06
Colombia,1990 - 2015,All ages,Both,Mesothelioma,YLDs annual % change,0.001134212,,
Colombia,2015,All ages,Both,Hodgkin lymphoma,Percent of total YLDs,6.25671E-05,4.84871E-05,8.00039E-05
Colombia,1990 - 2015,All ages,Both,Hodgkin lymphoma,YLDs annual % change,0.004587154,,
Colombia,2015,All ages,Both,Non-Hodgkin lymphoma,Percent of total YLDs,0.000456286,0.000319498,0.000570515
Colombia,1990 - 2015,All ages,Both,Non-Hodgkin lymphoma,YLDs annual % change,0.029841624,,
Colombia,2015,All ages,Both,Multiple myeloma,Percent of total YLDs,8.64495E-05,5.80561E-05,0.000123913
Colombia,1990 - 2015,All ages,Both,Multiple myeloma,YLDs annual % change,0.022966733,,
Colombia,2015,All ages,Both,Leukemia,Percent of total YLDs,0.000509437,0.00040924,0.000627346
Colombia,1990 - 2015,All ages,Both,Leukemia,YLDs annual % change,0.017325831,,
Colombia,2015,All ages,Both,Other neoplasms,Percent of total YLDs,0.000490862,0.000333824,0.000624718
Colombia,1990 - 2015,All ages,Both,Other neoplasms,YLDs annual % change,0.036086274,,
Colombia,2015,All ages,Both,Rheumatic heart disease,Percent of total YLDs,1.93641E-05,1.62126E-05,2.29633E-05
Colombia,1990 - 2015,All ages,Both,Rheumatic heart disease,YLDs annual % change,-0.012351233,,
Colombia,2015,All ages,Both,Ischemic heart disease,Percent of total YLDs,0.010058017,0.008677166,0.011567279
Colombia,1990 - 2015,All ages,Both,Ischemic heart disease,YLDs annual % change,0.017960777,,
Colombia,2015,All ages,Both,Cerebrovascular disease,Percent of total YLDs,0.002966616,0.002265282,0.003788286
Colombia,1990 - 2015,All ages,Both,Cerebrovascular disease,YLDs annual % change,0.010007162,,
Colombia,2015,All ages,Both,Hypertensive heart disease,Percent of total YLDs,0.001173855,0.000999888,0.001371143
Colombia,1990 - 2015,All ages,Both,Hypertensive heart disease,YLDs annual % change,0.028928428,,
Colombia,2015,All ages,Both,Cardiomyopathy and myocarditis,Percent of total YLDs,0.000469286,0.000397263,0.000550086
Colombia,1990 - 2015,All ages,Both,Cardiomyopathy and myocarditis,YLDs annual % change,0.015685319,,
Colombia,2015,All ages,Both,Atrial fibrillation and flutter,Percent of total YLDs,0.00183519,0.001431956,0.002281419
Colombia,1990 - 2015,All ages,Both,Atrial fibrillation and flutter,YLDs annual % change,0.022250533,,
Colombia,2015,All ages,Both,Aortic aneurysm,Percent of total YLDs,0,0,0
Colombia,1990 - 2015,All ages,Both,Aortic aneurysm,YLDs annual % change,0,,
Colombia,2015,All ages,Both,Peripheral artery disease,Percent of total YLDs,0.000348169,0.000174455,0.000611141
Colombia,1990 - 2015,All ages,Both,Peripheral artery disease,YLDs annual % change,0.02357107,,
Colombia,2015,All ages,Both,Endocarditis,Percent of total YLDs,1.0504E-05,9.27562E-06,1.20624E-05
Colombia,1990 - 2015,All ages,Both,Endocarditis,YLDs annual % change,0.007167285,,
Colombia,2015,All ages,Both,Other cardiovascular and circulatory diseases,Percent of total YLDs,0.01533214,0.013172193,0.017486476
Colombia,1990 - 2015,All ages,Both,Other cardiovascular and circulatory diseases,YLDs annual % change,0.02162406,,
Colombia,2015,All ages,Both,Chronic obstructive pulmonary disease,Percent of total YLDs,0.007326308,0.005767154,0.009185009
Colombia,1990 - 2015,All ages,Both,Chronic obstructive pulmonary disease,YLDs annual % change,0.005314082,,
Colombia,2015,All ages,Both,Pneumoconiosis,Percent of total YLDs,0.000368649,0.000255884,0.000506318
Colombia,1990 - 2015,All ages,Both,Pneumoconiosis,YLDs annual % change,0.010238565,,
Colombia,2015,All ages,Both,Asthma,Percent of total YLDs,0.034920222,0.026527644,0.044126882
Colombia,1990 - 2015,All ages,Both,Asthma,YLDs annual % change,-0.0053325,,
Colombia,2015,All ages,Both,Interstitial lung disease and pulmonary sarcoidosis,Percent of total YLDs,0.000133091,9.06475E-05,0.000178625
Colombia,1990 - 2015,All ages,Both,Interstitial lung disease and pulmonary sarcoidosis,YLDs annual % change,0.02647306,,
Colombia,2015,All ages,Both,Other chronic respiratory diseases,Percent of total YLDs,0.000726304,0.000470694,0.001121587
Colombia,1990 - 2015,All ages,Both,Other chronic respiratory diseases,YLDs annual % change,0.015539635,,
Colombia,2015,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis B,Percent of total YLDs,3.3032E-05,2.4105E-05,4.2769E-05
Colombia,1990 - 2015,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis B,YLDs annual % change,0.041225024,,
Colombia,2015,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis C,Percent of total YLDs,0.000193589,0.000153366,0.000237899
Colombia,1990 - 2015,All ages,Both,Cirrhosis and other chronic liver diseases due to hepatitis C,YLDs annual % change,0.042156024,,
Colombia,2015,All ages,Both,Cirrhosis and other chronic liver diseases due to alcohol use,Percent of total YLDs,0.000287647,0.000230078,0.000351536
Colombia,1990 - 2015,All ages,Both,Cirrhosis and other chronic liver diseases due to alcohol use,YLDs annual % change,0.032794171,,
Colombia,2015,All ages,Both,Cirrhosis and other chronic liver diseases due to other causes,Percent of total YLDs,0.000142948,0.000114018,0.000178185
Colombia,1990 - 2015,All ages,Both,Cirrhosis and other chronic liver diseases due to other causes,YLDs annual % change,0.026529047,,
Colombia,2015,All ages,Both,Peptic ulcer disease,Percent of total YLDs,0.001801091,0.001475664,0.002165409
Colombia,1990 - 2015,All ages,Both,Peptic ulcer disease,YLDs annual % change,-0.00440417,,
Colombia,2015,All ages,Both,Gastritis and duodenitis,Percent of total YLDs,0.000998772,0.00079881,0.001240122
Colombia,1990 - 2015,All ages,Both,Gastritis and duodenitis,YLDs annual % change,0.006374332,,
Colombia,2015,All ages,Both,Appendicitis,Percent of total YLDs,0.000103648,7.69587E-05,0.000133042
Colombia,1990 - 2015,All ages,Both,Appendicitis,YLDs annual % change,-0.003069405,,
Colombia,2015,All ages,Both,Paralytic ileus and intestinal obstruction,Percent of total YLDs,2.09786E-05,1.60709E-05,2.60966E-05
Colombia,1990 - 2015,All ages,Both,Paralytic ileus and intestinal obstruction,YLDs annual % change,0.004337645,,
Colombia,2015,All ages,Both,"Inguinal, femoral, and abdominal hernia",Percent of total YLDs,0.000227638,0.000118799,0.000404653
Colombia,1990 - 2015,All ages,Both,"Inguinal, femoral, and abdominal hernia",YLDs annual % change,-0.00509898,,
Colombia,2015,All ages,Both,Inflammatory bowel disease,Percent of total YLDs,0.002194269,0.001762443,0.00265602
Colombia,1990 - 2015,All ages,Both,Inflammatory bowel disease,YLDs annual % change,0.010998773,,
Colombia,2015,All ages,Both,Vascular intestinal disorders,Percent of total YLDs,1.21564E-05,9.37429E-06,1.4736E-05
Colombia,1990 - 2015,All ages,Both,Vascular intestinal disorders,YLDs annual % change,0.014199381,,
Colombia,2015,All ages,Both,Gallbladder and biliary diseases,Percent of total YLDs,0.000837367,0.000711369,0.000989539
Colombia,1990 - 2015,All ages,Both,Gallbladder and biliary diseases,YLDs annual % change,0.007028803,,
Colombia,2015,All ages,Both,Pancreatitis,Percent of total YLDs,0.000142471,9.99139E-05,0.000191067
Colombia,1990 - 2015,All ages,Both,Pancreatitis,YLDs annual % change,0.009388268,,
Colombia,2015,All ages,Both,Other digestive diseases,Percent of total YLDs,0.000857756,0.000747528,0.00098645
Colombia,1990 - 2015,All ages,Both,Other digestive diseases,YLDs annual % change,0.013233687,,
Colombia,2015,All ages,Both,Alzheimer disease and other dementias,Percent of total YLDs,0.009114522,0.007286705,0.01117829
Colombia,1990 - 2015,All ages,Both,Alzheimer disease and other dementias,YLDs annual % change,0.023707029,,
Colombia,2015,All ages,Both,Parkinson disease,Percent of total YLDs,0.000459817,0.000352419,0.000575451
Colombia,1990 - 2015,All ages,Both,Parkinson disease,YLDs annual % change,0.019614602,,
Colombia,2015,All ages,Both,Epilepsy,Percent of total YLDs,0.012539879,0.008192183,0.017585601
Colombia,1990 - 2015,All ages,Both,Epilepsy,YLDs annual % change,-0.021928014,,
Colombia,2015,All ages,Both,Multiple sclerosis,Percent of total YLDs,0.000386436,0.000293605,0.000487042
Colombia,1990 - 2015,All ages,Both,Multiple sclerosis,YLDs annual % change,0.01864039,,
Colombia,2015,All ages,Both,Migraine,Percent of total YLDs,0.046685521,0.030492666,0.064515878
Colombia,1990 - 2015,All ages,Both,Migraine,YLDs annual % change,0.00404955,,
Colombia,2015,All ages,Both,Tension-type headache,Percent of total YLDs,0.003280824,0.001672099,0.005476508
Colombia,1990 - 2015,All ages,Both,Tension-type headache,YLDs annual % change,0.004539388,,
Colombia,2015,All ages,Both,Medication overuse headache,Percent of total YLDs,0.018653135,0.014314319,0.023706184
Colombia,1990 - 2015,All ages,Both,Medication overuse headache,YLDs annual % change,0.00980514,,
Colombia,2015,All ages,Both,Motor neuron disease,Percent of total YLDs,2.24882E-05,1.89228E-05,2.60363E-05
Colombia,1990 - 2015,All ages,Both,Motor neuron disease,YLDs annual % change,0.024547175,,
Colombia,2015,All ages,Both,Other neurological disorders,Percent of total YLDs,0.000373051,0.000298432,0.000455524
Colombia,1990 - 2015,All ages,Both,Other neurological disorders,YLDs annual % change,0.019652205,,
Colombia,2015,All ages,Both,Schizophrenia,Percent of total YLDs,0.01799547,0.013127909,0.023979184
Colombia,1990 - 2015,All ages,Both,Schizophrenia,YLDs annual % change,0.011227076,,
Colombia,2015,All ages,Both,Alcohol use disorders,Percent of total YLDs,0.01011153,0.00786912,0.012544384
Colombia,1990 - 2015,All ages,Both,Alcohol use disorders,YLDs annual % change,0.006944331,,
Colombia,2015,All ages,Both,Drug use disorders,Percent of total YLDs,0.009372531,0.007101163,0.012008928
Colombia,1990 - 2015,All ages,Both,Drug use disorders,YLDs annual % change,0.013816098,,
Colombia,2015,All ages,Both,Depressive disorders,Percent of total YLDs,0.08240439,0.065401834,0.09997973
Colombia,1990 - 2015,All ages,Both,Depressive disorders,YLDs annual % change,0.005591117,,
Colombia,2015,All ages,Both,Bipolar disorder,Percent of total YLDs,0.017491327,0.011917558,0.025170468
Colombia,1990 - 2015,All ages,Both,Bipolar disorder,YLDs annual % change,0.003901404,,
Colombia,2015,All ages,Both,Anxiety disorders,Percent of total YLDs,0.05305669,0.040363503,0.06867053
Colombia,1990 - 2015,All ages,Both,Anxiety disorders,YLDs annual % change,0.003837328,,
Colombia,2015,All ages,Both,Eating disorders,Percent of total YLDs,0.001783377,0.001397288,0.002232238
Colombia,1990 - 2015,All ages,Both,Eating disorders,YLDs annual % change,0.007677522,,
Colombia,2015,All ages,Both,Autistic spectrum disorders,Percent of total YLDs,0.013288617,0.010918372,0.016035825
Colombia,1990 - 2015,All ages,Both,Autistic spectrum disorders,YLDs annual % change,-0.000719801,,
Colombia,2015,All ages,Both,Attention-deficit/hyperactivity disorder,Percent of total YLDs,0.000859574,0.000545962,0.001235418
Colombia,1990 - 2015,All ages,Both,Attention-deficit/hyperactivity disorder,YLDs annual % change,-0.008974919,,
Colombia,2015,All ages,Both,Conduct disorder,Percent of total YLDs,0.009382866,0.006341798,0.013305643
Colombia,1990 - 2015,All ages,Both,Conduct disorder,YLDs annual % change,-0.011078325,,
Colombia,2015,All ages,Both,Idiopathic developmental intellectual disability,Percent of total YLDs,0.003110374,0.001502266,0.004993143
Colombia,1990 - 2015,All ages,Both,Idiopathic developmental intellectual disability,YLDs annual % change,0.005783129,,
Colombia,2015,All ages,Both,Other mental and substance use disorders,Percent of total YLDs,0.013660837,0.010937539,0.017104815
Colombia,1990 - 2015,All ages,Both,Other mental and substance use disorders,YLDs annual % change,0.007844002,,
Colombia,2015,All ages,Both,Diabetes mellitus,Percent of total YLDs,0.041914512,0.036273295,0.04774513
Colombia,1990 - 2015,All ages,Both,Diabetes mellitus,YLDs annual % change,0.019343337,,
Colombia,2015,All ages,Both,Acute glomerulonephritis,Percent of total YLDs,1.1331E-06,8.42E-07,1.44283E-06
Colombia,1990 - 2015,All ages,Both,Acute glomerulonephritis,YLDs annual % change,-0.011701996,,
Colombia,2015,All ages,Both,Chronic kidney disease,Percent of total YLDs,0.017471991,0.015070132,0.020017561
Colombia,1990 - 2015,All ages,Both,Chronic kidney disease,YLDs annual % change,0.014094245,,
Colombia,2015,All ages,Both,Urinary diseases and male infertility,Percent of total YLDs,0.002682687,0.002022555,0.003429265
Colombia,1990 - 2015,All ages,Both,Urinary diseases and male infertility,YLDs annual % change,0.020935806,,
Colombia,2015,All ages,Both,Gynecological diseases,Percent of total YLDs,0.010611516,0.008152876,0.013614257
